sehir,isim,ilce,adres
İstanbul Özel Konaklamalar,"
Cirrus Suites Hotel
",> Beyoglu,Sehitmuhtar Mah. Basma Tulumba Sok. No:9
İstanbul Özel Konaklamalar,"
Violet Suite
",> Beyoglu,"Feridiye Caddesi, No. 87"
İstanbul Oda ve Kahvaltı / Pansiyon,"
No 10 Taksim
",> Beyoglu,"Şehit Muhtar Mah. Çorbacı Sok. No:10 Taksim, Beyoğlu"
İstanbul Otelleri,"
Yazar Hotel
",> Grand Bazaar,Hobyar Mah. Cemal Nadir Sok. N 14 Fatih
İstanbul Otelleri,"
Sunshine Hotel
",> Sultanahmet,Alaykosku Cad No:1
İstanbul Otelleri,"
Seref Hotel
",> Beyoglu,Tarlabasi Bulv. No 109
İstanbul Otelleri,"
Roüge Noire Hotel
",> Aksaray,Namık Kemal Cad. Manastırlı Rıfat Sok. No: 29
İstanbul Otelleri,"
Otel Yeşilpark
",> Fener & Balat,"Hüsambey Mah. Büyük Karaman Cad. No:15 Fatih Merkez, Fatih"
İstanbul Otelleri,"
Otel Aksaray
",> Grand Bazaar,"Gümrük Emini Sok. D:3-5 Laleli, Fatih"
İstanbul Otelleri,"
Ortaköy Princess Hotel
",> Besiktas,"Dereboyu Cad. No:10 Ortaköy, Beşiktaş"
İstanbul Otelleri,"
Nazar Hotel
",> Grand Bazaar,Ordu Cad. Yesyl Tulumba Sok 17
İstanbul Otelleri,"
Marinem Hotel
",> Grand Bazaar,Gençtürk Cad. Ağa Yokuşu No:18
İstanbul Otelleri,"
Liberti Hotel
",> Beyoglu,"Gençtürk Cad. No:18 Laleli, Fatih"
İstanbul Otelleri,"
Kuzey Yıldızı Otel
",> Sisli,"Plaj Yolu No:3 Şile Merkez, Şile"
İstanbul Otelleri,"
Kervansaray Otel
",> Beyoglu,"Şehit Muhtar Cad. No:49 Taksim, Beyoğlu"
İstanbul Otelleri,"
Keçik Otel
",> Grand Bazaar,"Fethi Bey Cad. No:6 Laleli, Fatih"
İstanbul Oda ve Kahvaltı / Pansiyon,"
Flamingo Apart
",> Sultanahmet,Kucukayasofya caddesi no 33
İstanbul Oda ve Kahvaltı / Pansiyon,"
Reydel Hotel
",> Grand Bazaar,Yavuzsinan Mahallesi Kucukdolap Sok No:22 Unkapani / Fatih
İstanbul Otelleri,"
Hotel Peradoor
",> Beyoglu,Abdulhak Hamit Cad. No 36
İstanbul Otelleri,"
Hotel Monopol
",> Beyoglu,"Meşrutiyet Cad. No:93 Tepebaşı, Beyoğlu"
İstanbul Otelleri,"
Hotel Fatih Istanbul
",> Fener & Balat,Aksemsettin Mah. Bedrettin Simavi Sok. No:4
İstanbul Otelleri,"
Hotel Euro Plaza
",> Beyoglu,Tarlabasi Bulvari 292
İstanbul Otelleri,"
Hotel Birbey
",> Grand Bazaar,"Atatürk Bulv. Mektep Sok. No:1 D:3 Aksaray, Fatih"
İstanbul Otelleri,"
Hotel Beyaz Kuğu
",> Grand Bazaar,"Mustafa Kemal Paşa Mah. Gençtürk Cad. No:60 Vefa, Fatih"
İstanbul Otelleri,"
Grand Dilara Otel
",> Grand Bazaar,Ordu Cad. Selim Paşa Sok. No:24
İstanbul Oda ve Kahvaltı / Pansiyon,"
End Suites
",> Beyoglu,Taksim cad. Kocatepe Mah Cambazoglu Sk No: 25
İstanbul Oda ve Kahvaltı / Pansiyon,"
Walnut Shell Hotel
",> Sultanahmet,"Kucuk Ayasofya Mah. Aksakal Sok. No:22 Sultanahmet, Fatih"
İstanbul Otelleri,"
Florya Park Hotel
",> Ataturk Airport,"Londra Asfaltı No:42 Florya, Bakırköy"
İstanbul Otelleri,"
Aquarium Otel
",> Sultanahmet,"Alemdar Mah. Alay Köşkü Cad. No:16 Eminönü/Cağaloğlu, Fatih"
İstanbul Otelleri,"
Crystal Hotel
",> Beyoglu,Receppasa Caddesi No 7
İstanbul Otelleri,"
Bergama Otel
",> Grand Bazaar,"Fevziye Cad. No:34 Vefa, Fatih"
İstanbul Otelleri,"
Ayasofya Apart Hotel
",> Sultanahmet,Kucukayasofya Mah. Yusufaskin Sok
İstanbul Otelleri,"
Valide Otel
",> Sisli,"Halaskargazi Cad. Ebekızı Sok. No:6 D:9 Meşrutiyet, Şişli"
İstanbul Otelleri,"
Caratpark Hotel
",> Sisli,Inonu Dist. Yedi Kuyular Ave. Kuzu Kulagi St. No. 20
İstanbul Otelleri,"
Historical Preferred Hotel
",> Sultanahmet,Nobethane cad. No. 18
İstanbul Otelleri,"
Istiklal St. House
",> Beyoglu,Kuloglu Mah. Sadri Alisik Sok. No 22
İstanbul Otelleri,"
Hotel Sultan's Eye Comfort
",> Sultanahmet,"Cankurtaran Mah. Akbıyık Cad. Bayram Fırını Sok. No:8 Sultanahmet, Fatih"
